(0.2, -26.1656833681756)
(0.4, -13.545320577800199)
(0.6, -3.7933498893875375)
(0.7999999999999999, 3.018542153921671)
(0.9999999999999999, 7.478273147289885)
(1.2, 10.280731891493751)
(1.4000000000000001, 12.016589448452637)
(1.6000000000000003, 13.095523413056519)
(1.8000000000000005, 13.775175570448674)
(2.0000000000000004, 14.211417723741455)
(2.2000000000000006, 14.497609765465418)
(2.400000000000001, 14.689903492772299)
(2.600000000000001, 14.822456343936341)
(2.800000000000001, 14.916357803021521)
(3.0000000000000013, 14.984845618564274)
(3.2000000000000015, 15.036372335319586)
(3.4000000000000017, 15.076428294822657)
(3.600000000000002, 15.108640388526213)
(3.800000000000002, 15.135444273580347)
(4.000000000000002, 15.15850200454918)
(4.200000000000001, 15.178965508652027)
(4.4, 15.197645326968884)
(4.6, 15.215120273963649)
(4.799999999999999, 15.231809712670849)
(4.999999999999998, 15.248021838936793)
(5.1999999999999975, 15.263986358436236)
(5.399999999999997, 15.279876876270484)
(5.599999999999996, 15.29582641958833)
(5.799999999999995, 15.311938320641271)
(5.999999999999995, 15.328293928682434)
(6.199999999999994, 15.34495813024347)
(6.399999999999993, 15.36198333866228)
(6.5999999999999925, 15.379412403624343)
(6.799999999999992, 15.39728075140389)
(6.999999999999991, 15.415617972106487)
(7.19999999999999, 15.434449005966853)
(7.39999999999999, 15.453795036560528)
(7.599999999999989, 15.473674168194318)
(7.799999999999988, 15.49410194318219)
(7.999999999999988, 15.515091739610101)
(8.199999999999987, 15.536655079352927)
(8.399999999999986, 15.558801868343505)
(8.599999999999985, 15.581540585467645)
(8.799999999999985, 15.604878432352814)
(8.999999999999984, 15.62882145329873)
(9.199999999999983, 15.653374632361729)
(9.399999999999983, 15.678541972936571)
(9.599999999999982, 15.704326563926516)
(9.799999999999981, 15.73073063564528)
(9.99999999999998, 15.757755607873884)
(10.19999999999998, 15.785402131943659)
(10.399999999999979, 15.813670128291857)
(10.599999999999978, 15.842558820607495)
(10.799999999999978, 15.872066767429015)
(10.999999999999977, 15.90219189185536)
(11.199999999999976, 15.932931509875026)
(11.399999999999975, 15.964282357694001)
(11.599999999999975, 15.99624061834601)
(11.799999999999974, 16.0288019477913)
(11.999999999999973, 16.06196150064945)
(12.199999999999973, 16.09571395566338)
(12.399999999999972, 16.13005354095427)
(12.599999999999971, 16.164974059097254)
(12.79999999999997, 16.200468912025165)
(12.99999999999997, 16.236531125749913)
(13.199999999999969, 16.273153374878166)
(13.399999999999968, 16.310328006888398)
(13.599999999999968, 16.348047066129773)
(13.799999999999967, 16.386302317499172)
(13.999999999999966, 16.425085269750284)
(14.199999999999966, 16.464387198387996)
(14.399999999999965, 16.504199168101863)
